speaker	speakers_job	state_info	party_affiliation	barely_true_cnt	false_cnt	half_true_cnt	mostly_true_cnt	pants_on_fire_cnt	true_cnt
jill-stein	Presidential nominee	Massachusetts	green	0	1	0	0	1	1
jim-francesconi	Member of the State Board of Higher Education	Oregon	none	0	1	0	1	0	0
karen-harrington	restaurant owner	Florida	republican	0	1	1	0	0	0
jorge-ramos	News anchor for Univision	Florida	journalist	1	0	2	1	0	0
steve-adler	Mayor of Austin	Texas	democrat	1	1	0	1	1	1
tom-kean-jr	New Jersey Senate Minority Leader		republican	0	2	0	0	0	0
portland-association-teachers			organization	1	0	1	0	0	0
george-flinn	Radiologist and radio station owner	Tennessee	republican	0	1	0	0	1	0
eddie-rodriguez	Texas House Representative	Texas	democrat	0	1	0	1	0	1
kathie-tovo	Mother	Texas	democrat	1	0	0	2	0	0
cathie-adams	Chair, Republican Party of Texas	Texas	republican	0	1	1	0	1	0
megyn-kelly	Host of "The Kelly File"		talk-show-host	0	1	2	0	0	2
kathleen-ford	Attorney	Florida	democrat	0	1	0	1	0	0
eddie-lucio-jr	Advertising executive	Texas	democrat	0	0	1	1	0	1
lynn-westmoreland			republican	0	1	2	0	0	2
ohio-republican-party		Ohio	republican	2	1	1	1	0	1
randi-weingarten			none	1	0	1	0	0	0
majority-pac			democrat	1	0	1	0	0	0
maciver-institute	Think tank	Wisconsin	independent	0	0	0	1	1	1
service-employees-international-union-committee-po		Washington, D.C.	newsmaker	1	0	2	0	0	0
bob-stacey	Metro councilor	Oregon	democrat	0	2	0	0	0	0
mark-zaccaria		Rhode Island	republican	1	2	0	0	0	1
dan-flynn	State Representative	Texas	republican	1	0	0	0	1	0
anne-nolan	president, Crossroads Rhode Island	Rhode Island	activist	0	1	0	1	0	0
meg-whitman		California	republican	0	1	1	1	0	0
frank-lautenberg	U.S. Senator	New Jersey	democrat	2	0	2	1	0	3
mike-polensek	Cleveland city councilman	Ohio	democrat	0	0	1	0	0	1
levar-stoney	Richmond mayoral candidate	Virginia	democrat	1	1	1	0	0	0
katrina-vanden-heuvel			none	0	2	1	0	0	2
nick-fish	Portland City Commissioner	Oregon	none	0	1	0	1	0	0
dubose-porter		Georgia	democrat	0	0	0	1	0	1
dick-armey			republican	0	2	1	0	0	0
ew-jackson	Pastor	Virginia	republican	1	0	0	0	0	1
loretta-sanchez	member of Congress	California	democrat	0	1	1	0	1	1
steve-ogden	oil and gas producer	Texas	republican	0	0	1	1	0	0
cw-bill-young	U.S. Representative, Florida District 10	Florida	republican	0	0	1	0	1	1
leah-vukmir	Member of state Assembly	Wisconsin	republican	0	1	0	1	0	0
steve-southerland	U.S. Representative, Florida District 2	Florida	republican	0	1	1	1	0	1
david-alameel	Investor	Texas	democrat	0	1	1	0	0	0
emergency-committee-israel	Advocacy group for U.S. policy toward Israel	Washington, D.C.	none	2	0	0	0	0	0
bruce-rauner	Governor	Illinois	republican	0	0	1	0	0	1
john-thrasher	Republican Party of Florida Chairman	Florida	republican	2	1	0	0	1	1
lee-may		Georgia	democrat	0	0	0	2	0	1
my-city-bikes			none	0	1	0	0	1	0
dave-aronberg	state senator	Florida	democrat	1	0	1	0	0	2
tom-kean-sr		New Jersey	republican	0	0	1	0	0	1
jim-waldman	state representative	Florida	democrat	1	0	0	0	0	1
jason-conger	legislator	Oregon	republican	0	1	0	1	0	0
wisconsin-manufacturers-and-commerce		Wisconsin	organization	2	0	2	2	0	0
internet-commenters		Wisconsin	none	0	2	0	0	0	0
bill-kristol	Editor, the Weekly Standard	Washington, D.C.	none	0	1	0	3	0	0
john-loughlin	owner, Media-Rite LLC	Rhode Island	republican	1	2	0	0	1	1
susan-b-anthony-list			republican	0	1	0	0	1	0
diana-degette			democrat	0	0	1	1	0	0
rob-wittman	Congressman	Virginia	republican	0	1	1	1	0	0
jon-husted	Ohio secretary of state	Ohio	republican	0	2	1	2	1	0
rick-kriseman	State Representative	Florida	democrat	0	1	0	1	0	0
mark-kelly			newsmaker	0	0	1	0	0	2
arthenia-joyner	State senator	Florida	democrat	0	0	0	1	0	1
thom-tillis	House Speaker and U.S. Senate candidate	North Carolina	republican	2	0	1	0	0	0
david-rivera	U.S. Representative, Florida District 25	Florida	republican	0	2	0	0	0	0
new-hampshire-republican-party		New Hampshire	republican	1	0	0	2	0	0
renee-unterman	State Senator	Georgia	republican	0	0	2	0	0	0
planned-parenthood			none	1	0	1	0	1	2
stefani-carter	State representative	Texas	republican	0	0	2	0	0	0
michael-bloomberg		New York	independent	0	1	1	2	0	4
lone-star-project		Washington	democrat	0	1	2	0	0	0
jefferson-smith	state representative	Oregon	democrat	1	1	0	4	0	2
lee-holloway	Chairman, Milwaukee County Boaerd of Supervisors	Wisconsin	none	0	2	0	1	1	0
jack-reed	U.S. Senator	Rhode Island	democrat	1	0	2	1	0	3
ron-maag	State representative	Ohio	republican	1	1	0	0	0	0
julie-lassa	State Senator, 24th District	Wisconsin	democrat	0	0	2	0	0	0
sierra-club			none	1	1	0	1	0	0
kay-hagan	Former U.S. Senator	North Carolina	democrat	1	0	1	2	0	0
silvestre-reyes	U.S. House member	Texas	democrat	0	0	1	1	1	0
austin-scott		Georgia	republican	1	1	0	0	0	0
kirsten-gillibrand	U.S. Senator	New York	democrat	0	0	1	1	0	0
maria-sachs	Florida senator	Florida	democrat	1	0	0	0	0	1
mark-obenshain	State senator	Virginia	republican	0	0	1	1	0	1
vladimir-putin	President of Russia		none	0	1	1	0	0	0
taxpayer-association-oregon	political action committee	Oregon	none	0	1	2	0	0	0
john-fleming	U.S. Representative	Louisiana	republican	0	2	0	0	0	1
kevin-mccarthy	U.S. Representative and House Majority Whip	California	republican	1	1	0	0	0	0
michelle-nunn	Chief Executive Officer, Points of Light Foundation	Georgia	democrat	2	0	1	2	0	0
corrine-brown	U.S. Representative	Florida	democrat	0	1	0	0	0	1
floridians-ethics-and-truth-politics		Florida	republican	0	1	0	1	0	0
kevin-reilly	President of the University of Wisconsin System	Wisconsin	state-official	0	0	1	0	0	1
colleen-kiernan		Georgia	none	0	0	0	2	0	0
anthony-gemma	Owner Media Peel, former president and CEO of Gem Plumbing	Rhode Island	democrat	0	2	0	2	1	0
christine-odonnell	Candidate for U.S. Senate	Delaware	republican	0	0	0	1	1	0
votevetsorg			none	0	1	1	0	0	0
david-barton	President, Wallbuilders	Texas	republican	1	0	1	1	0	0
vicky-hartzler	U.S. Representative	Missouri	republican	0	0	1	0	0	1
florida-voter		Florida	none	0	1	0	1	0	0
steven-schale		Florida	democrat	1	0	0	0	0	1
league-women-voters-austin-area		Texas	organization	0	0	2	0	0	0
david-ralston		Georgia	republican	1	0	0	1	0	1
rodney-ellis	state senator	Texas	democrat	0	0	0	2	0	1
marina-dimitrijevic			none	1	1	1	0	0	0
scott-keyes			none	1	0	0	0	1	0
susan-combs	State comptroller	Texas	republican	0	3	0	0	1	0
herb-kohl	U.S. Senator	Wisconsin	democrat	1	0	0	1	0	0
senate-republican-conference	Group representing Senate Republicans	Washington, D.C.	republican	1	0	1	0	0	0
james-woods	Actor		none	0	1	0	0	1	1
jim-mcdermott	U.S. Representative	Washington state	democrat	1	1	1	0	0	0
janice-hahn		California	democrat	0	0	1	0	0	1
ralph-reed			republican	0	2	1	0	0	0
campaign-defend-america		Washington, D.C.	none	0	1	0	1	0	0
anthony-weiner		New York	democrat	1	1	1	0	0	0
focus-family-action			none	0	2	0	0	0	1
danny-tarkanian		Nevada	republican	1	0	1	0	0	0
mario-diaz-balart	U.S. Representative	Florida	republican	0	0	0	1	0	1
leonard-lance			republican	0	0	1	2	0	1
everytown-gun-safety	Advocacy group	New York	none	2	0	1	0	0	0
tucker-carlson	Editor, Daily Caller		none	0	0	1	0	1	0
city-atlanta			none	1	1	1	0	0	1
we-are-wisconsin		Wisconsin	organization	1	1	1	0	0	0
doreen-costa	State Representative	Rhode Island	republican	0	1	0	0	0	1
kimberly-guilfoyle			none	0	1	0	0	1	0
american-petroleum-institute			none	0	0	0	1	0	1
hank-gilbert	Cattle raiser	Texas	democrat	1	0	1	0	0	1
dana-milbank	Columnist for the Washington Post	Washington, D.C.	none	2	0	0	0	0	0
charlie-sykes	Talk show host for WTMJ-AM in Milwaukee	Wisconsin	talk-show-host	0	0	0	0	2	0
tom-leppert	Businessman	Texas	republican	0	0	0	1	0	1
log-cabin-republicans			none	0	0	0	2	0	0
18-percent-american-public			none	0	0	0	0	1	1
pink-pony			none	0	0	1	0	0	1
chris-dudley	Financial adviser	Oregon	republican	0	0	0	1	1	0
afl-cio			none	1	0	1	0	0	1
duncan-hunter	U.S. representative	California	republican	0	1	0	1	0	2
george-p-bush	Vice president, Charter Holdings real estate investment partnership	Texas	republican	1	1	0	1	0	0
gail-collins	Columnist for the New York Times	New York	journalist	2	1	0	1	0	0
thomas-garrett-jr	State senator	Virginia	republican	2	1	0	0	0	0
bob-barr	Runs a consulting firm, Liberty Strategies LLC	Georgia	libertarian	0	0	0	1	0	1
jim-rubens	Small business owner	New Hampshire	republican	1	0	0	1	0	0
roberto-dasilva	Police officer	Rhode Island	democrat	1	0	0	1	0	0
van-jones	Co-host of CNN's "Crossfire"	Washington, D.C.	democrat	0	1	1	2	0	0
no-56-campaign			organization	2	0	0	0	0	0
no-tax-tracks			organization	0	2	2	0	0	0
nancy-grace			none	2	0	0	0	0	0
jeff-sessions		Alabama	republican	2	1	1	1	0	0
michael-bennet		Colorado	democrat	0	0	1	0	0	2
democratic-governors-association			democrat	1	0	0	0	2	1
gary-black	Commissioner of Agriculture	Georgia 	republican	0	0	1	1	0	0
paul-manafort			republican	0	2	0	0	1	0
bob-corker			republican	1	0	0	2	0	2
jeff-miller	U.S. Congressman	Florida	republican	1	0	0	1	0	0
portland-public-schools	School district	Oregon	none	0	0	1	1	0	2
bill-seitz	State senator	Ohio	republican	0	0	1	1	0	0
edward-markey			democrat	0	0	1	1	0	1
john-thune	U.S. Senator	South Dakota	republican	0	0	1	0	1	0
matt-mackowiak	Consultant	Texas	republican	2	1	0	0	0	0
tammy-duckworth	U.S. Representative 	Illinois	democrat	1	1	0	1	0	0
kent-conrad	U.S. Senator	North Dakota	democrat	0	0	0	1	0	1
bee-moorhead	Executive director, Texas IMPACT	Texas	democrat	0	0	0	1	0	1
tom-nelson		Wisconsin	democrat	0	1	1	0	0	0
mark-begich	Senator	Alaska	democrat	0	0	0	2	0	0
mike-gravel	Author and lecturer	Alaska	libertarian	0	0	1	0	1	1
james-langevin	Congressman	Rhode Island	democrat	0	0	1	1	0	1
julaine-appling	Executive Director, Wisconsin Family Action	Wisconsin	none	0	2	0	0	0	0
special-operations-opsec-education-fund			none	1	0	1	0	0	0
james-dobson			republican	0	0	0	1	0	1
citizens-transportation-mobility		Georgia	none	1	0	2	0	0	0
sam-brownback	U.S. senator	Kansas	republican	0	1	0	0	0	2
john-stemberger		Florida	republican	1	2	0	0	0	0
charlene-lima	educator	Rhode Island	democrat	0	0	0	0	1	1
steven-rattner			democrat	0	0	0	2	0	0
lamar-alexander			republican	1	2	2	0	0	2
elizabeth-roberts	Lieutenant Governor	Rhode Island	democrat	1	0	1	0	0	2
mark-kirk	U.S. Senator	Illinois	republican	1	1	1	0	0	0
doctors-without-borders			none	0	0	1	1	0	0
scott-desjarlais	4th Congressional District's congressman	Tennessee	republican	1	0	0	1	0	0
joseph-mcnamara	House member	Rhode Island	democrat	0	2	1	0	0	0
other-98			democrat	1	0	0	1	0	0
doug-macginnitie	Sandy Springs City Councilman	Georgia	republican	1	1	0	0	0	0
joe-pitts	Congressman	Pennsylvania	republican	0	0	1	1	0	1
raul-labrador	U.S. Representative	Idaho	republican	1	0	1	0	0	0
steven-frias	lawyer	Rhode Island	republican	0	0	0	1	0	1
luis-gutierrez	U.S. House of Representatives	Illinois	democrat	0	0	2	3	0	0
dan-kapanke	State Senator, District 32	Wisconsin	republican	0	0	0	0	2	0
dana-perino	Co-host on Fox News Channel's "The Five"		republican	1	1	0	0	0	0
gayle-smith			democrat	0	0	1	2	0	0
ari-melber			none	0	0	2	0	0	0
corey-stewart	Chairman, Prince William County board of supervisors	Virginia	republican	2	1	0	0	0	0
samuel-wurzelbacher	Republican candidate for Congress	Ohio	republican	0	1	0	0	1	0
libre-initiative			organization	0	0	1	1	0	0
pam-bondi		Florida	republican	2	1	0	3	0	1
andrea-mitchell			none	0	0	1	1	0	0
mike-tate			democrat	0	2	1	1	0	0
john-ludlow	Businessman		republican	1	0	0	0	0	1
jesse-jackson	Civil rights leader	Illinois	democrat	0	1	0	1	0	0
richard-corcoran	State Representative	Florida	republican	1	0	0	0	0	1
stacey-campfield	State Senator	Tennessee	republican	0	1	0	1	1	0
charlotte-lehan	Chair of the Clackamas County Board of Commissioners	Oregon	none	1	0	1	0	0	0
jennifer-granholm	Former governor of Michigan	Michigan	democrat	0	0	3	1	0	1
workers-voice	Political action committee	District of Columbia	none	0	2	0	0	2	0
sandy-pasch	State Assembly member, 22nd District	Wisconsin	democrat	0	0	0	2	1	0
stacey-abrams	House Minority Leader, Georgia General Assembly		democrat	0	0	0	2	0	1
larry-sabato	national political expert		none	0	0	0	1	0	1
fred-clark	State Assembly member, 42nd District	Wisconsin	democrat	1	0	1	1	0	0
dan-gecker	Chesterfield County supervisor	Virginia	democrat	0	1	0	0	0	1
sanford-bishop	Congressman	Georgia	democrat	0	1	0	1	0	1
ocean-state-policy-research-institute		Rhode Island	organization	0	2	0	0	1	0
eric-holder	Attorney General	Washington, D.C.	democrat	0	0	0	1	0	2
jd-alexander	State senator	Florida	republican	0	1	1	1	1	1
federation-american-immigration-reform			organization	1	0	1	0	0	0
rod-smith	Florida Democratic Party Chairman	Florida	democrat	0	1	1	1	0	0
jane-kidd			democrat	0	1	0	1	0	0
michael-madigan	Speaker of the House 	Illinois	democrat	1	0	0	1	0	0
alan-hays	state senator	Florida	republican	2	0	0	0	0	1
jorge-elorza	Law professor	Rhode Island	democrat	1	1	0	2	0	0
richard-burr	U.S. Senator	North Carolina	republican	0	0	1	1	0	0
matt-miller	Management consultant	California	none	0	0	0	1	0	1
tim-grendell	State senator	Ohio	republican	0	1	0	0	0	1
celia-israel	Realtor; Texas House member, District 50	Texas	democrat	0	0	1	0	1	0
amy-schumer			none	0	0	2	0	0	0
rhode-island-center-freedom-and-prosperity		Rhode Island	organization	1	0	1	0	0	0
patrick-kennedy	Congressman	Rhode Island	democrat	0	1	2	1	0	0
brian-kilmeade	Fox and Friends co-host		none	0	2	0	0	0	0
mike-collins	co-owner, Collins Industries	Georgia	republican	0	0	1	1	0	0
league-conservation-voters			organization	0	0	0	0	0	2
joseph-cryan	State Assemblyman	New Jersey	democrat	1	1	0	0	0	1
rich-lowry	Editor, National Review		none	1	0	0	0	0	1
david-frum	Senior editor, The Atlantic		none	0	0	1	1	0	0
jacky-rosen		Nevada	democrat	0	0	1	0	0	1
worldnetdaily			none	0	1	0	0	1	0
ernest-almonte	auditor	Rhode Island	independent	0	1	0	1	0	0
naral-pro-choice-america			organization	0	0	1	0	0	1
jeff-brandes	Director of real estate at Tibbetts Holdings LLC, his family's business	Florida	republican	0	0	1	1	0	1
janet-napolitano	Secretary of Homeland Security 		democrat	0	0	1	1	1	0
new-day-america		Ohio	organization	0	1	1	0	0	0
kevin-boyce	Ohio treasurer	Ohio	democrat	0	0	0	0	1	1
brian-robinson		Georgia	republican	1	1	0	0	0	1
beverly-hall			none	0	2	0	0	0	0
virginia-senate-democratic-caucus		Virginia	democrat	0	1	0	0	0	1
scott-jones	Sacramento County Sheriff	California	republican	0	1	1	0	0	0
whoopi-goldberg	The View co-host	New York 	talk-show-host	1	0	1	0	0	0
mark-sanford	Governor	South Carolina	republican	0	2	0	0	0	0
defenders-wildlife-action-fund-defenders-wildlife-			none	0	0	0	0	0	2
dianne-feinstein	U.S. Senator	California	democrat	0	1	0	2	0	0
william-howell	Speaker of the Virginia House	Virginia	republican	0	0	0	0	1	2
michael-chippendale	State Representative	Rhode Island	republican	0	1	0	1	0	1
Arizona-Citizens-Defense-League			organization	0	1	1	0	0	0
brad-avakian			state-official	0	1	0	1	0	0
breitbart			none	0	0	0	0	2	0
lenny-curry	chairman of the Republican Party of Florida	Florida	republican	0	1	1	0	0	0
xavier-becerra	U.S. Representative	California	democrat	0	0	0	1	0	1
don-lemon	CNN anchor	Georgia	journalist	0	1	0	0	0	1
amanda-fritz	Portland city commissioner		democrat	1	1	0	1	0	0
progressive-change-campaign-committee			none	0	0	1	1	0	0
peter-schweizer			none	0	1	0	0	0	1
matt-gaetz	State Representative	Florida	republican	0	0	1	1	0	0
billboard-spaghetti-junction		Georgia	organization	0	1	0	0	0	2
chris-van-hollen		Maryland	democrat	0	0	0	2	0	0
steve-doocy	Co-host of Fox New Channel's "Fox and Friends"	New York	journalist	0	2	0	0	0	0
physicians-committee-responsible-medicine			organization	0	1	1	0	0	0
yvette-mcgee-brown	Ohio Supreme Court justice	Ohio	democrat	0	0	0	0	0	3
richard-durbin	Senator	Illinois	democrat	0	1	0	0	1	0
annette-taddeo-goldstein	Miami-Dade County Democratic chair	Florida	democrat	1	0	1	0	0	0
bob-wirch	State Senator, 22nd District	Wisconsin	democrat	0	0	0	0	1	1
john-morgan	Attorney	Florida	democrat	1	1	0	0	0	0
texas-democratic-party	Political party	Texas	democrat	0	0	0	2	0	1
steve-doell	Executive Diretor of the Truth in Sentencing Project	Oregon	newsmaker	0	0	0	1	0	1
lois-frankel		Florida	democrat	1	0	0	0	1	0
barbara-lee	Congresswoman from California's 13th district	California	democrat	0	0	0	2	0	0
joe-negron	State Senator	Florida	republican	0	0	1	1	0	0
pam-stewart	interim commissioner of education	Florida	state-official	0	0	2	0	0	0
craig-james	Former ESPN analyst	Texas	republican	0	0	1	0	1	0
jennifer-beck			republican	0	2	0	0	0	0
joni-ernst	U.S. senator	Iowa	republican	2	1	0	1	0	0
sam-olens		Georgia	republican	0	1	0	0	0	2
james-carville	political consultant	Louisiana	democrat	2	1	0	1	0	0
tom-perriello	lawyer	Virginia	democrat	0	1	1	0	0	0
eugene-mckenna	President, Citizens Concerned About Casino Gambling	Rhode Island	newsmaker	0	0	0	1	0	1
moms-demand-action-gun-sense-america	advocacy group	Indiana	none	1	0	0	1	0	0
christopher-l-smith	State Senator	Florida	democrat	0	0	2	0	0	0
gavin-mcinnes			none	0	1	0	0	1	0
ken-paxton	Attorney general-elect	Texas	republican	0	2	0	1	0	1
erick-erickson			republican	1	2	0	0	0	1
tom-ganley	Businessman	Ohio	republican	1	1	0	0	0	1
chris-koster	Attorney general of Missouri	Missouri	democrat	0	0	0	1	0	1
jennifer-horn	Chairman, New Hampshire Republican Party	New Hampshire	republican	2	0	1	1	0	0
luis-garcia	state representative	Florida	democrat	1	0	0	1	0	0
rebecca-kleefisch	Candidate for lieutenant governor	Wisconsin	republican	1	3	3	0	1	1
bud-chiles		Florida	independent	0	0	1	0	0	2
charlie-hales	Senior vice president, HDR Engineering	Oregon	none	1	1	1	0	0	2
ending-spending-action-fund			independent	1	0	0	1	0	0
charles-van-zant	Member of Florida House of Representatives	Florida	republican	0	1	1	0	0	0
holly-turner	Lawyer	Texas	republican	0	1	0	0	0	1
naacp			organization	0	0	0	1	0	1
david-simpson	Texas House Representative	Texas	republican	0	0	0	1	0	1
patrick-mchenry	U.S. Congressman	North Carolina	republican	0	1	0	2	0	0
conservative-solutions-pac		Florida	organization	3	0	1	0	0	0
barbara-comstock	State delegate	Virginia	republican	1	1	0	0	0	1
scott-fitzgerald	State Senator, 13th District	Wisconsin	republican	1	1	0	0	0	0
bob-marshall	State delegate	Virginia	republican	0	2	0	0	1	0
moms-rising			democrat	0	1	0	1	0	0
florida-stop-common-core-coalition		Florida	none	0	0	1	0	1	0
mary-matalin			republican	1	1	0	0	0	0
tom-rooney	Congressman	Florida	republican	1	0	0	1	0	0
cecile-richards	president, Planned Parenthood Federation of America	New York	democrat	0	0	2	2	0	0
promote-oregon-leadership-pac-oregon-house-republi	Political action committee	Oregon	republican	1	1	1	0	0	1
steve-oroho	State Senator	New Jersey	republican	1	0	0	1	0	0
colin-van-ostern	Executive Councilor	New Hampshire	democrat	2	0	0	0	0	0
rob-woodall	U.S. Representative	Georgia	republican	0	0	1	0	0	1
mike-stenhouse	chief executive officer, R.I. Center for Freedom and ProsperityState Policy Research Institute	Rhode Island	newsmaker	1	1	1	0	1	1
ed-lindsey	State Representative	Georgia	republican	0	0	0	1	0	3
arne-duncan	U.S. Secretary of Education	Illinois	democrat	0	2	1	2	0	0
charles-bass	U.S. Representative 	New Hampshire	republican	2	2	0	0	0	0
seth-magaziner	investment advisor	Rhode Island	democrat	0	0	0	1	0	1
paul-doughty	President, International Association of Firefighters Local 799	Rhode Island	labor-leader	0	0	0	1	0	1
charles-koch	Koch Industries	Kansas	none	1	1	0	0	0	0
thom-hartmann	Radio/TV host		none	0	0	0	1	1	0
united-care			organization	1	0	0	1	0	0
donna-seidel	State Assembly, District 85	Wisconsin	democrat	0	1	0	0	0	1
anita-perry	First Lady of Texas	Texas	republican	0	0	1	1	0	0
right-rise			republican	0	0	1	0	0	1
larry-pratt	Executive director, Gun Owners of America		none	0	1	1	0	0	0
presente			none	0	1	0	0	0	1
jeff-tittel	Director of the New Jersey Sierra Club		none	0	0	1	0	1	0
john-eaves	Fulton County Board of Commissioners Chairman	Georgia	democrat	0	0	0	1	0	1
barney-frank	U.S. Representative	Massachusetts	democrat	1	0	2	0	0	0
jay-hottinger	State representative	Ohio	republican	0	1	0	0	1	1
james-florio	Former governor of New Jersey	New Jersey	democrat	0	0	0	1	0	1
oregon-senate-republicans		Oregon	republican	1	0	0	1	0	0
dave-joyce	Member of Congress	Ohio	republican	0	0	0	0	0	2
ron-dermer	Israeli ambassador to the United States		none	2	0	0	0	0	0
colin-powell			republican	0	0	1	0	0	1
john-charles	President and CEO of Cascade Policy Institute	Oregon	libertarian	0	0	1	1	0	0
elizabeth-ames-jones		Texas	republican	1	1	0	0	0	0
mark-herring	State senator	Virginia	democrat	0	1	0	1	0	1
laura-tyson	Professor at the Haas School of Business at the University of California (Berkeley)	California	democrat	0	0	1	1	0	0
arlen-specter	Senator	Pennsylvania	democrat	0	1	0	1	0	0
dean-cannon	state House speaker	Florida	republican	1	0	0	0	0	1
mary-taylor	Lieutenant governor of Ohio	Ohio	republican	1	0	1	0	0	0
future-pac-oregon-house-democrats	campaign committee	Oregon	democrat	2	0	0	0	0	0
anna-little	Immigration Attorney	New Jersey	republican	1	1	0	0	0	0
john-oxendine		Georgia	republican	0	0	1	0	0	1
tom-delay	Former U.S. House member	Texas	republican	0	0	1	0	1	0
shaun-donovan	Secretary of Housing and Urban Development	New York	democrat	0	0	1	1	0	0
janet-adkins	state representative	Florida	republican	1	0	1	1	0	0
pete-sessions	U.S. House representative	Texas	republican	1	0	1	0	0	0
tony-perkins			republican	0	1	1	0	0	0
joseph-trillo	minority whip, Rhode Island House of Representatives	Rhode Island	republican	0	0	1	0	1	0
ameripac			none	0	0	1	0	1	0
creative-advocacy-network		Oregon	none	0	0	1	1	0	0
morgan-griffith	U.S. Congressman	Virginia	republican	0	1	1	0	0	1
tim-echols	Public Service Commissioner	Georgia	republican	0	0	1	1	0	0
mahlon-mitchell			democrat	0	0	0	0	0	2
bill-flores	Businessman	Texas	republican	1	1	0	0	0	0
tennessee-republican-party		Tennessee	republican	1	1	0	0	0	0
